direction,topic,ros_type,observed_ros_type,observed_type_matches_expected,ros_field,python_baseline_source,expected_shape_or_length,order_contract,adapter_contract,stage9_use,bridge_source_hit_count_limited,bridge_source_hits
publish,/go1/joint_states,sensor_msgs/msg/JointState,sensor_msgs/msg/JointState,True,name,MuJoCo actuator / joint labels,12,"MJ_LEG_ORDER: FR, FL, RR, RL; JOINT_ORDER: hip, thigh, calf",scripts/common/go1_runtime_interface.py: MJ_JOINT_LABELS,C++ mirror must preserve joint label order,9,"[{""line"": 43, ""text"": ""self.base_id = mujoco.mj_name2id(""}, {""line"": 54, ""text"": ""self.joint_pub = self.create_publisher(JointState, \""/go1/joint_states\"", 10)""}, {""line"": 95, ""text"": ""joint_msg.name = JOINT_NAMES""}, {""line"": 152, ""text"": ""foot_names = [\""FR\"", \""FL\"", \""RR\"", \""RL\""]""}, {""line"": 156, ""text"": ""g1 = mujoco.mj_id2name(self.model, mujoco.mjtObj.mjOBJ_GEOM, c.geom1) or \""\""""}, {""line"": 157, ""text"": ""g2 = mujoco.mj_id2name(self.model, mujoco.mjtObj.mjOBJ_GEOM, c.geom2) or \""\""""}, {""line"": 160, ""text"": ""for leg_id, foot_name in enumerate(foot_names):""}, {""line"": 161, ""text"": ""if \""floor\"" in pair and foot_name in pair:""}, {""line"": 177, ""text"": ""if __name__ == \""__main__\"":""}]"
publish,/go1/joint_states,sensor_msgs/msg/JointState,sensor_msgs/msg/JointState,True,position,MuJoCo qpos actuated slice,12,qpos actuated starts after free joint; adapter handles reorder contract,mujoco_qpos_to_pinocchio / pinocchio_qpos_to_mujoco,C++ mirror must not hard-code a conflicting joint order,2,"[{""line"": 54, ""text"": ""self.joint_pub = self.create_publisher(JointState, \""/go1/joint_states\"", 10)""}, {""line"": 96, ""text"": ""joint_msg.position = self.data.qpos[7:19].tolist()""}]"
publish,/go1/joint_states,sensor_msgs/msg/JointState,sensor_msgs/msg/JointState,True,velocity,MuJoCo qvel actuated slice,12,qvel actuated starts after 6 floating-base velocities; adapter handles reorder contract,mujoco_qvel_to_pinocchio / pinocchio_qvel_to_mujoco,C++ mirror must preserve actuator-order joint velocity layout,6,"[{""line"": 54, ""text"": ""self.joint_pub = self.create_publisher(JointState, \""/go1/joint_states\"", 10)""}, {""line"": 97, ""text"": ""joint_msg.velocity = self.data.qvel[6:18].tolist()""}, {""line"": 125, ""text"": ""# angular velocity uses MuJoCo floating-base angular velocity.""}, {""line"": 126, ""text"": ""imu_msg.angular_velocity.x = float(self.data.qvel[3])""}, {""line"": 127, ""text"": ""imu_msg.angular_velocity.y = float(self.data.qvel[4])""}, {""line"": 128, ""text"": ""imu_msg.angular_velocity.z = float(self.data.qvel[5])""}]"
publish,/go1/joint_states,sensor_msgs/msg/JointState,sensor_msgs/msg/JointState,True,effort,MuJoCo actuator torque / ctrl feedback if populated by bridge,12,torque order follows MuJoCo actuator order,mujoco_tau_to_pinocchio / pinocchio_tau_to_mujoco,C++ mirror must keep command and feedback torque order identical,2,"[{""line"": 54, ""text"": ""self.joint_pub = self.create_publisher(JointState, \""/go1/joint_states\"", 10)""}, {""line"": 98, ""text"": ""joint_msg.effort = self.data.ctrl[:12].tolist()""}]"
publish,/go1/base_state,std_msgs/msg/Float64MultiArray,std_msgs/msg/Float64MultiArray,True,data,MuJoCo floating-base qpos/qvel,implementation-defined Float64MultiArray; must be documented before C++ mirror,"MuJoCo free joint quaternion is x,y,z,qw,qx,qy,qz; Pinocchio is x,y,z,qx,qy,qz,qw",mujoco_qpos_to_pinocchio / pinocchio_qpos_to_mujoco,C++ mirror must explicitly document base_state data layout before subscribing,10,"[{""line"": 41, ""text"": ""self.data = mujoco.MjData(self.model)""}, {""line"": 56, ""text"": ""self.base_pub = self.create_publisher(Float64MultiArray, \""/go1/base_state\"", 10)""}, {""line"": 74, ""text"": ""cmd = np.asarray(msg.data, dtype=float)""}, {""line"": 88, ""text"": ""self.data.ctrl[:] = self.torque_cmd""}, {""line"": 89, ""text"": ""mujoco.mj_step(self.model, self.data)""}, {""line"": 96, ""text"": ""joint_msg.position = self.data.qpos[7:19].tolist()""}, {""line"": 97, ""text"": ""joint_msg.velocity = self.data.qvel[6:18].tolist()""}, {""line"": 98, ""text"": ""joint_msg.effort = self.data.ctrl[:12].tolist()""}, {""line"": 102, ""text"": ""base_msg.data = [""}, {""line"": 103, ""text"": ""float(self.data.time),""}]"
publish,/go1/imu,sensor_msgs/msg/Imu,sensor_msgs/msg/Imu,True,orientation,MuJoCo base orientation or simulated IMU orientation,geometry_msgs/Quaternion,"ROS Quaternion fields are x,y,z,w; MuJoCo qpos stores qw,qx,qy,qz after xyz",adapter documents MuJoCo / Pinocchio quaternion convention,C++ mirror must not copy MuJoCo qpos[3:7] directly into ROS orientation,5,"[{""line"": 55, ""text"": ""self.imu_pub = self.create_publisher(Imu, \""/go1/imu\"", 10)""}, {""line"": 135, ""text"": ""imu_msg.orientation.w = float(self.data.qpos[3])""}, {""line"": 136, ""text"": ""imu_msg.orientation.x = float(self.data.qpos[4])""}, {""line"": 137, ""text"": ""imu_msg.orientation.y = float(self.data.qpos[5])""}, {""line"": 138, ""text"": ""imu_msg.orientation.z = float(self.data.qpos[6])""}]"
publish,/go1/imu,sensor_msgs/msg/Imu,sensor_msgs/msg/Imu,True,angular_velocity,MuJoCo base angular velocity or sensor data,Vector3,must document frame convention before controller use,not a reorder helper yet; interface contract only,C++ mirror records field but does not consume it for control yet,4,"[{""line"": 55, ""text"": ""self.imu_pub = self.create_publisher(Imu, \""/go1/imu\"", 10)""}, {""line"": 126, ""text"": ""imu_msg.angular_velocity.x = float(self.data.qvel[3])""}, {""line"": 127, ""text"": ""imu_msg.angular_velocity.y = float(self.data.qvel[4])""}, {""line"": 128, ""text"": ""imu_msg.angular_velocity.z = float(self.data.qvel[5])""}]"
publish,/go1/imu,sensor_msgs/msg/Imu,sensor_msgs/msg/Imu,True,linear_acceleration,MuJoCo IMU acceleration or sensor data,Vector3,must document frame convention before EKF use,not a reorder helper yet; interface contract only,C++ mirror records field but does not implement EKF,4,"[{""line"": 55, ""text"": ""self.imu_pub = self.create_publisher(Imu, \""/go1/imu\"", 10)""}, {""line"": 131, ""text"": ""imu_msg.linear_acceleration.x = 0.0""}, {""line"": 132, ""text"": ""imu_msg.linear_acceleration.y = 0.0""}, {""line"": 133, ""text"": ""imu_msg.linear_acceleration.z = 0.0""}]"
publish,/go1/foot_contacts,std_msgs/msg/Int32MultiArray,std_msgs/msg/Int32MultiArray,True,data,MuJoCo contact flags,4,"FR, FL, RR, RL",MJ_LEG_ORDER,C++ mirror must preserve leg contact order,10,"[{""line"": 41, ""text"": ""self.data = mujoco.MjData(self.model)""}, {""line"": 57, ""text"": ""self.contact_pub = self.create_publisher(Int32MultiArray, \""/go1/foot_contacts\"", 10)""}, {""line"": 74, ""text"": ""cmd = np.asarray(msg.data, dtype=float)""}, {""line"": 88, ""text"": ""self.data.ctrl[:] = self.torque_cmd""}, {""line"": 89, ""text"": ""mujoco.mj_step(self.model, self.data)""}, {""line"": 96, ""text"": ""joint_msg.position = self.data.qpos[7:19].tolist()""}, {""line"": 97, ""text"": ""joint_msg.velocity = self.data.qvel[6:18].tolist()""}, {""line"": 98, ""text"": ""joint_msg.effort = self.data.ctrl[:12].tolist()""}, {""line"": 102, ""text"": ""base_msg.data = [""}, {""line"": 103, ""text"": ""float(self.data.time),""}]"
publish,/go1/sim_time,std_msgs/msg/Float64,std_msgs/msg/Float64,True,data,MuJoCo simulation time,1,scalar seconds,not applicable,C++ mirror uses it only as timestamp/reference unless clock integration is added,10,"[{""line"": 41, ""text"": ""self.data = mujoco.MjData(self.model)""}, {""line"": 58, ""text"": ""self.time_pub = self.create_publisher(Float64, \""/go1/sim_time\"", 10)""}, {""line"": 74, ""text"": ""cmd = np.asarray(msg.data, dtype=float)""}, {""line"": 88, ""text"": ""self.data.ctrl[:] = self.torque_cmd""}, {""line"": 89, ""text"": ""mujoco.mj_step(self.model, self.data)""}, {""line"": 96, ""text"": ""joint_msg.position = self.data.qpos[7:19].tolist()""}, {""line"": 97, ""text"": ""joint_msg.velocity = self.data.qvel[6:18].tolist()""}, {""line"": 98, ""text"": ""joint_msg.effort = self.data.ctrl[:12].tolist()""}, {""line"": 102, ""text"": ""base_msg.data = [""}, {""line"": 103, ""text"": ""float(self.data.time),""}]"
