stage,title,completed,claim,boundary,pass_marker_found,pass_marker_files,validation_summary_found,validation_pass,validation_summary_file
15.1,ROS2/C++ control algorithm engineering tests,True,"C++ gait scheduler, swing trajectory and torque safety filter are built and tested through ROS2/CMake/GTest.",No torque publishing or hardware execution.,True,stage15_1_ros2_cpp_controller_test.log,False,,
15.2,C++ contact force QP demo,True,"A C++ contact-force constraint demo validates stance/swing force allocation, normal force and friction constraints.",No OSQP C++ dependency and no closed-loop robot torque execution.,True,stage15_2_contact_force_qp_cpp_test.log,False,,
15.3,contact force to nominal torque candidate rollout,True,Contact force candidates are mapped to 12D torque-candidate statistics through a nominal mapping and alpha sweep.,"No real Pinocchio Jacobian, no MuJoCo torque and no ROS torque publisher.",True,stage15_3_contact_force_candidate_rollout.log,False,,
15.4,Pinocchio Jacobian candidate rollout,True,Pinocchio foot Jacobian based J^T f candidate rollout is available in an offline dry-run path.,Synthetic/audit kinematic model may be used; no MuJoCo torque execution.,True,stage15_4_pinocchio_jacobian_candidate_rollout.log,False,,
15.5,model readiness audit,True,"MJCF/URDF/Xacro resources are audited for controlled joints, foot frames and mapping readiness.",Audit only; no Jacobian execution or torque execution.,True,stage15_5_model_readiness_audit.log,True,True,stage15_5_model_readiness_audit_validation_summary.json
15.6,real-model Jacobian candidate rollout,True,Stage 15.5 model metadata or loadable URDF is connected to Pinocchio J^T f candidate generation.,"If MJCF fallback is used, real geometry is not claimed; no MuJoCo torque execution.",True,stage15_6_real_model_jacobian_candidate_rollout.log,True,True,stage15_6_real_model_jacobian_candidate_rollout_validation_summary.json
15.7,MuJoCo candidate compatibility audit,True,"MuJoCo model, joint names, actuators and candidate order are checked through kinematic mj_forward.",No mj_step and no nonzero data.ctrl.,True,stage15_7_mujoco_candidate_compatibility_audit.log,True,True,stage15_7_mujoco_candidate_compatibility_audit_validation_summary.json
15.8,bounded MuJoCo torque smoke test,True,A low-amplitude actuator command path is tested with mj_step under strict clipping.,Smoke test only; not stable locomotion and not MPC-WBC closed-loop validation.,True,stage15_8_mujoco_torque_smoke_test.log,True,True,stage15_8_mujoco_torque_smoke_test_validation_summary.json
15.9,MuJoCo J^T f candidate injection,True,The Stage 15.6 J^T f candidate is injected into MuJoCo with low alpha for short-horizon safety testing.,Short-horizon only; no stable locomotion claim and no hardware claim.,True,stage15_9_mujoco_jtf_candidate_injection.log,True,True,stage15_9_mujoco_jtf_candidate_injection_validation_summary.json
15.10,MuJoCo torque-smoke policy comparison,True,"Zero ctrl, deterministic smoke waveform and J^T f candidate are compared under identical short-horizon safety metrics.",Safety/compatibility comparison only; not a walking-performance benchmark.,True,stage15_10_mujoco_torque_smoke_policy_comparison.log,True,True,stage15_10_mujoco_torque_smoke_policy_comparison_validation_summary.json
